Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\pylon1_gt.ply
Extracted Edges File,analysis\data\pylon1\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
269,2,2,0.077382,0.022429,6.335805,2.662471
270,6,6,0.087260,0.008120,10.122323,6.741847
271,7,7,0.060139,0.023870,9.580096,4.147914
272,28,28,0.055940,0.023919,10.098826,5.272453
273,2,2,0.066447,0.018500,14.186054,0.297546
274,11,11,0.064891,0.024607,10.419747,5.937628
275,21,21,0.062167,0.021306,9.497778,4.580834
276,18,18,0.059613,0.029276,12.438994,6.366674
277,13,13,0.064382,0.019944,9.493555,4.456106
278,6,6,0.066127,0.010696,10.807779,4.495573
279,7,7,0.078374,0.016944,8.861207,3.966906
280,12,12,0.065993,0.019075,11.536110,4.551419
281,12,12,0.066271,0.023717,10.939764,4.528329
282,22,22,0.052240,0.018739,7.839315,4.130421
283,18,18,0.060287,0.026564,9.624094,4.135177
284,0,0,N/A,N/A,N/A,N/A
285,9,9,0.057269,0.016743,11.853049,4.855574
286,0,0,N/A,N/A,N/A,N/A
287,0,0,N/A,N/A,N/A,N/A
288,1,1,0.054548,N/A,13.020206,N/A
289,2,2,0.032307,0.003158,12.281946,0.254991
290,1,1,0.095441,N/A,13.175224,N/A
291,0,0,N/A,N/A,N/A,N/A
292,1,1,0.094542,N/A,12.076442,N/A
293,0,0,N/A,N/A,N/A,N/A
294,3,3,0.070850,0.014871,10.620703,6.752684
295,0,0,N/A,N/A,N/A,N/A
296,0,0,N/A,N/A,N/A,N/A
297,0,0,N/A,N/A,N/A,N/A
298,3,3,0.077066,0.013383,13.264942,0.048425
299,0,0,N/A,N/A,N/A,N/A
300,0,0,N/A,N/A,N/A,N/A
301,1,1,0.086999,N/A,11.969091,N/A
302,0,0,N/A,N/A,N/A,N/A
303,0,0,N/A,N/A,N/A,N/A
304,1,1,0.073129,N/A,15.352894,N/A
305,2,2,0.085684,0.003385,8.900350,0.973279
306,0,0,N/A,N/A,N/A,N/A
307,7,7,0.065604,0.025677,11.154532,3.343437
308,0,0,N/A,N/A,N/A,N/A
309,0,0,N/A,N/A,N/A,N/A
310,2,2,0.069658,0.019004,9.334126,4.248604
311,4,4,0.070621,0.015821,10.854737,4.453095
312,2,2,0.073937,0.023270,7.088654,4.655204
313,1,1,0.065745,N/A,7.421486,N/A
314,1,1,0.056461,N/A,7.276153,N/A
315,0,0,N/A,N/A,N/A,N/A
316,0,0,N/A,N/A,N/A,N/A
317,4,4,0.071749,0.025182,8.149867,2.297711
318,6,6,0.074219,0.013629,9.575222,4.458360
319,2,2,0.071091,0.005367,12.193270,3.373467
320,2,2,0.081009,0.012491,12.879451,0.446039
321,7,7,0.056749,0.024512,7.517177,5.025961
322,1,1,0.000965,N/A,15.798017,N/A
323,10,10,0.068289,0.015664,10.080428,4.533445
324,4,4,0.084955,0.005451,16.142891,2.536154
325,4,4,0.058615,0.010767,14.088463,5.853824
326,8,8,0.061802,0.014411,10.709141,4.044504
327,6,6,0.065501,0.017422,7.299621,4.695517
328,4,4,0.067678,0.011795,14.854924,4.644391
329,6,6,0.065934,0.016670,8.419482,4.208161
330,5,5,0.069166,0.014757,11.631595,5.113314
331,6,6,0.055634,0.024704,10.545710,5.363812
332,0,0,N/A,N/A,N/A,N/A
333,4,4,0.066225,0.016384,11.955482,1.488027
334,2,2,0.072410,0.022239,9.540804,4.997523
335,5,5,0.076772,0.010784,9.907057,3.878890
336,0,0,N/A,N/A,N/A,N/A
337,5,5,0.070044,0.027985,6.770939,2.086065
338,0,0,N/A,N/A,N/A,N/A
339,5,5,0.035349,0.019001,8.254003,2.780009
340,4,4,0.089909,0.009755,12.300752,3.919114
341,0,0,N/A,N/A,N/A,N/A
342,0,0,N/A,N/A,N/A,N/A
343,0,0,N/A,N/A,N/A,N/A
344,7,7,0.045059,0.024495,5.379432,2.398769
345,0,0,N/A,N/A,N/A,N/A
346,0,0,N/A,N/A,N/A,N/A
347,0,0,N/A,N/A,N/A,N/A
348,0,0,N/A,N/A,N/A,N/A
349,1,1,0.025580,N/A,11.953023,N/A
350,6,6,0.058687,0.026040,9.224467,6.325810
351,2,2,0.086558,0.004291,17.251627,0.483108
352,4,4,0.059113,0.035330,13.913730,2.523888
353,0,0,N/A,N/A,N/A,N/A
354,1,1,0.079356,N/A,8.167877,N/A
355,2,2,0.068085,0.014191,4.729557,1.087015
356,6,6,0.084872,0.005143,6.780456,4.641627
357,1,1,0.093274,N/A,13.780079,N/A
358,1,1,0.096112,N/A,7.995649,N/A
359,0,0,N/A,N/A,N/A,N/A
360,1,1,0.069297,N/A,5.105139,N/A
361,6,6,0.069230,0.022243,12.457864,4.774969
362,1,1,0.042531,N/A,17.661663,N/A
363,7,7,0.061547,0.026603,11.453162,5.191449
364,0,0,N/A,N/A,N/A,N/A
365,12,12,0.070937,0.022263,8.633755,4.141553
366,9,9,0.068905,0.021134,9.930884,2.251374
367,5,5,0.082585,0.009494,12.333161,5.453656
368,9,9,0.055934,0.034708,8.677393,4.759942
369,2,2,0.048110,0.009328,5.339292,0.422908
370,0,0,N/A,N/A,N/A,N/A
371,15,15,0.063754,0.021000,10.708122,4.480985
372,12,12,0.058504,0.023084,11.783312,5.891792
373,15,15,0.056771,0.021610,9.678629,4.923213
374,3,3,0.069786,0.019741,7.733488,1.040985
375,17,17,0.064596,0.018493,13.217164,3.757993
376,2,2,0.090076,0.007813,9.773953,3.490851
377,8,8,0.064748,0.032587,8.837084,5.991043
378,7,7,0.074746,0.016159,9.718911,5.448101
379,9,9,0.066185,0.015871,11.219619,5.213761
380,0,0,N/A,N/A,N/A,N/A
381,4,4,0.039795,0.006918,12.801242,4.229848
382,2,2,0.059722,0.013104,5.443975,1.177993
383,3,3,0.082883,0.007138,4.758501,2.684150
384,0,0,N/A,N/A,N/A,N/A
385,13,13,0.073873,0.016524,9.434617,4.849173
386,0,0,N/A,N/A,N/A,N/A
387,5,5,0.087327,0.011204,13.340762,4.885392
388,2,2,0.067446,0.028318,8.110506,0.731850
389,0,0,N/A,N/A,N/A,N/A
390,4,4,0.059226,0.016262,12.283662,5.076950
391,6,6,0.079129,0.013687,7.682862,3.798070
392,9,9,0.065003,0.024752,8.963174,5.256265
393,2,2,0.088586,0.005108,6.657533,2.544040
394,2,2,0.091044,0.001203,13.781416,2.625637
395,0,0,N/A,N/A,N/A,N/A
396,2,2,0.077140,0.003997,10.984348,4.947951
397,1,1,0.088319,N/A,7.184886,N/A
398,0,0,N/A,N/A,N/A,N/A
399,3,3,0.075483,0.025551,11.294881,2.222384
400,1,1,0.071786,N/A,3.263813,N/A
401,0,0,N/A,N/A,N/A,N/A
402,0,0,N/A,N/A,N/A,N/A
403,4,4,0.050627,0.028338,4.745923,1.187072
404,1,1,0.075043,N/A,7.380649,N/A
405,2,2,0.074138,0.005252,5.603363,2.249711
406,2,2,0.046853,0.028709,12.937165,0.257202
407,0,0,N/A,N/A,N/A,N/A
408,7,7,0.067561,0.011674,6.296719,2.879406
409,24,24,0.055211,0.024636,11.019312,4.464964
410,10,10,0.072141,0.018186,8.496076,2.790106
411,17,17,0.074937,0.015550,10.221670,5.199090
412,10,10,0.060982,0.020206,7.265260,2.555417
413,7,7,0.075486,0.028613,8.558162,3.657008
414,1,1,0.066765,N/A,12.363890,N/A
415,15,15,0.057376,0.025149,10.713363,4.521614
416,9,9,0.052850,0.025945,8.375109,2.519739
417,12,12,0.047315,0.025103,12.685333,4.235752
418,2,2,0.082823,0.010313,15.930941,4.036166
419,26,26,0.050365,0.024445,11.774115,5.664931
420,6,6,0.063856,0.029164,9.321871,3.535980
421,9,9,0.083998,0.009959,8.495124,5.080484
422,1,1,0.092523,N/A,7.222519,N/A
423,6,6,0.069703,0.020473,10.374147,5.362723
424,0,0,N/A,N/A,N/A,N/A
425,14,14,0.064052,0.025594,7.643115,4.527373
426,9,9,0.075132,0.021324,10.580832,3.892983
427,16,16,0.072254,0.018652,9.424489,4.281155
428,7,7,0.070327,0.025699,8.252543,5.760579
429,9,9,0.051235,0.025332,10.178913,6.288473
430,7,7,0.065025,0.018654,8.049448,4.468134
431,4,4,0.070377,0.024458,10.617307,1.788081
432,7,7,0.066321,0.021468,5.717577,3.873715
433,0,0,N/A,N/A,N/A,N/A
434,1,1,0.090073,N/A,4.110948,N/A
435,2,2,0.047016,0.020759,11.857997,0.244999
436,4,4,0.073722,0.010744,12.279299,1.888965
437,2,2,0.068367,0.018621,7.036686,0.124084
438,8,8,0.063504,0.025083,8.657638,3.941574
439,1,1,0.038174,N/A,7.256984,N/A
440,2,2,0.063184,0.001719,9.172438,1.902834
441,3,3,0.064070,0.021039,13.674375,1.023878
442,6,6,0.084086,0.015239,7.617697,4.194517
443,13,13,0.070268,0.017939,11.459230,4.604462
444,26,26,0.037268,0.020064,8.369021,3.888270
445,6,6,0.082900,0.018096,11.654354,4.396187
446,6,6,0.068920,0.014350,12.246610,4.482506
447,2,2,0.094414,0.005494,6.812856,3.945296
448,20,20,0.064239,0.020343,9.682510,4.744806
449,27,27,0.055954,0.026758,10.687266,4.071867
450,3,3,0.081219,0.002969,9.080676,5.760443
451,7,7,0.072931,0.018718,10.808853,3.330565
452,0,0,N/A,N/A,N/A,N/A
453,3,3,0.074627,0.015384,5.648943,3.166901
454,0,0,N/A,N/A,N/A,N/A
455,8,8,0.079695,0.014950,9.383344,4.633794
456,8,8,0.075882,0.020583,9.334695,3.110230
457,6,6,0.075092,0.022312,13.219315,3.036714
458,8,8,0.081112,0.017303,3.859070,2.787891
459,1,1,0.093896,N/A,13.546987,N/A
